regime,architecture,mode,sigma_obs,n_samples,n_diverged,rmse_b_mean,rmse_b_std,rmse_b_median,rmse_b_q25,rmse_b_q75,rmse_a_mean,rmse_a_std,rmse_a_median,rmse_a_q25,rmse_a_q75,improvement_bg_mean,improvement_bg_std,improvement_bg_median,improvement_bg_q25,improvement_bg_q75,hausdorff_mean,hausdorff_std,hausdorff_median,hausdorff_q25,hausdorff_q75,divergence_rate
fixedmean,MLP,x2,1.0,1,1,914740.4861601916,,914740.4861601916,914740.4861601916,914740.4861601916,1069082.7893261723,,1069082.7893261723,1069082.7893261723,1069082.7893261723,-0.16872796765983755,,-0.16872796765983755,-0.16872796765983755,-0.16872796765983755,,,,,,1.0
fixedmean,MLP,xy,0.05,1,1,909218.8143036148,,909218.8143036148,909218.8143036148,909218.8143036148,1017775.9997887076,,1017775.9997887076,1017775.9997887076,1017775.9997887076,-0.11939610551090359,,-0.11939610551090359,-0.11939610551090359,-0.11939610551090359,,,,,,1.0
fixedmean,MLP,xy,0.1,1,0,649964.2855764729,,649964.2855764729,649964.2855764729,649964.2855764729,600287.0243040752,,600287.0243040752,600287.0243040752,600287.0243040752,0.07643075531194371,,0.07643075531194371,0.07643075531194371,0.07643075531194371,,,,,,0.0
fixedmean,MLP,xy,0.5,1,0,776616.9410928731,,776616.9410928731,776616.9410928731,776616.9410928731,695713.968428522,,695713.968428522,695713.968428522,695713.968428522,0.104173587239164,,0.104173587239164,0.104173587239164,0.104173587239164,,,,,,0.0
fixedmean,MLP,xy,1.0,1,0,876951.7958024801,,876951.7958024801,876951.7958024801,876951.7958024801,936734.2246383956,,936734.2246383956,936734.2246383956,936734.2246383956,-0.0681707126002402,,-0.0681707126002402,-0.0681707126002402,-0.0681707126002402,,,,,,0.0
resample,GRU,x,0.05,1,0,7.610712760253527,,7.610712760253527,7.610712760253527,7.610712760253527,7.630943671070111,,7.630943671070111,7.630943671070111,7.630943671070111,-0.002658214999551468,,-0.002658214999551468,-0.002658214999551468,-0.002658214999551468,,,,,,0.0
resample,GRU,x,0.1,1,0,7.081362678204743,,7.081362678204743,7.081362678204743,7.081362678204743,7.074809676165078,,7.074809676165078,7.074809676165078,7.074809676165078,0.000925387151802664,,0.000925387151802664,0.000925387151802664,0.000925387151802664,,,,,,0.0
resample,GRU,x,0.5,1,0,6.407261338111355,,6.407261338111355,6.407261338111355,6.407261338111355,6.418379474549128,,6.418379474549128,6.418379474549128,6.418379474549128,-0.00173524004267478,,-0.00173524004267478,-0.00173524004267478,-0.00173524004267478,,,,,,0.0
resample,GRU,x,1.0,1,0,7.092333824118858,,7.092333824118858,7.092333824118858,7.092333824118858,7.090090615875291,,7.090090615875291,7.090090615875291,7.090090615875291,0.000316286331015316,,0.000316286331015316,0.000316286331015316,0.000316286331015316,,,,,,0.0
resample,GRU,x2,0.05,1,0,10.543209339021052,,10.543209339021052,10.543209339021052,10.543209339021052,10.579863275260784,,10.579863275260784,10.579863275260784,10.579863275260784,-0.003476544481012419,,-0.003476544481012419,-0.003476544481012419,-0.003476544481012419,,,,,,0.0
resample,GRU,x2,0.1,1,0,10.256066166982468,,10.256066166982468,10.256066166982468,10.256066166982468,10.38494078597331,,10.38494078597331,10.38494078597331,10.38494078597331,-0.012565696914644583,,-0.012565696914644583,-0.012565696914644583,-0.012565696914644583,,,,,,0.0
resample,GRU,x2,0.5,1,0,11.6501321811802,,11.6501321811802,11.6501321811802,11.6501321811802,11.658569226655503,,11.658569226655503,11.658569226655503,11.658569226655503,-0.000724201695233275,,-0.000724201695233275,-0.000724201695233275,-0.000724201695233275,,,,,,0.0
resample,GRU,x2,1.0,1,0,10.605528602003645,,10.605528602003645,10.605528602003645,10.605528602003645,10.711449380581392,,10.711449380581392,10.711449380581392,10.711449380581392,-0.009987317233554786,,-0.009987317233554786,-0.009987317233554786,-0.009987317233554786,,,,,,0.0
resample,GRU,xy,0.05,1,0,8.311916585441516,,8.311916585441516,8.311916585441516,8.311916585441516,8.397290865526719,,8.397290865526719,8.397290865526719,8.397290865526719,-0.010271310979556459,,-0.010271310979556459,-0.010271310979556459,-0.010271310979556459,,,,,,0.0
resample,GRU,xy,0.1,1,0,6.861396381237324,,6.861396381237324,6.861396381237324,6.861396381237324,6.853597602153922,,6.853597602153922,6.853597602153922,6.853597602153922,0.001136616899837985,,0.001136616899837985,0.001136616899837985,0.001136616899837985,,,,,,0.0
resample,GRU,xy,0.5,1,0,8.940441353254862,,8.940441353254862,8.940441353254862,8.940441353254862,9.10591131861635,,9.10591131861635,9.10591131861635,9.10591131861635,-0.018508030959930998,,-0.018508030959930998,-0.018508030959930998,-0.018508030959930998,,,,,,0.0
resample,GRU,xy,1.0,1,0,6.802392201146476,,6.802392201146476,6.802392201146476,6.802392201146476,6.793999612823695,,6.793999612823695,6.793999612823695,6.793999612823695,0.001233770131831851,,0.001233770131831851,0.001233770131831851,0.001233770131831851,,,,,,0.0
resample,LSTM,x,0.05,1,0,6.738326004945155,,6.738326004945155,6.738326004945155,6.738326004945155,6.754477854141338,,6.754477854141338,6.754477854141338,6.754477854141338,-0.002397012133923012,,-0.002397012133923012,-0.002397012133923012,-0.002397012133923012,,,,,,0.0
resample,LSTM,x,0.1,1,0,6.732620930588783,,6.732620930588783,6.732620930588783,6.732620930588783,6.738054707511474,,6.738054707511474,6.738054707511474,6.738054707511474,-0.000807081963875892,,-0.000807081963875892,-0.000807081963875892,-0.000807081963875892,,,,,,0.0
resample,LSTM,x,0.5,1,0,7.123880465876648,,7.123880465876648,7.123880465876648,7.123880465876648,7.116857564172745,,7.116857564172745,7.116857564172745,7.116857564172745,0.00098582531494491,,0.00098582531494491,0.00098582531494491,0.00098582531494491,,,,,,0.0
resample,LSTM,x,1.0,1,0,7.405911012136353,,7.405911012136353,7.405911012136353,7.405911012136353,7.434203443850219,,7.434203443850219,7.434203443850219,7.434203443850219,-0.00382025002292116,,-0.00382025002292116,-0.00382025002292116,-0.00382025002292116,,,,,,0.0
